,Nickname,Review,Hashtag
1401,cafe_onni,,"헤이커피,혜화카페,혜화역카페,대학로카페,레몬케이크,쑥갸또,종로카페,카페스타그램,카페투어,onni_서울"
1402,kgm868686, 2018.10.09. 집 후 이지만 ㅎ,"회동수원지,나들이후,금정구청,건너편,옛날팥빙수단팥죽,등산,팥빙수,3500원,싸당,팥,얼음,맛나다,먹스타그램,냠냠"
1403,o_ourcafe, - 뷰맛집에 아바라맛집까지 너무 좋다 *ﾟ*︎,총총_뷰맛집
1404,taxxy._.gram, 달짝지근하면서 넘 맛있어여 당면 먼저 먹구 국물을 밥에 비벼서 먹어야 끝납니다^^ 찜닭은 생각날 때 먹어야돼요!!ㅎㅎ . . . . . .,"봉추찜닭,삼송맛집,고양시맛집,찜닭,찜닭맛집,삼송,먹스타그램,먹스타,일상스타그램,먹방,맛집,맛집스타그램,맛스타그램,음식,음식사진,음식스타그램,맞팔,존맛,선팔,좋아요,좋아요반사,좋반,foodie,푸드스타그램,소통,팔로우환영,선팔하면맞팔"
1405,comet.way," ㅡ 흑임자 아인슈페너, 플랫화이트 주문. 플랫화이트는 무난했으나 흑임자 아인슈페너는 위에 생크림이 너무 느끼해서 전체적으로 달고 니글니글 으으 ㅡ","피에로커피,강동구청카페,강동구청역카페,둔촌동역카페,성내동카페,강동구카페,서울카페,카페투어,카페,커피,카페스타그램,커피스타그램,데일리,daily,landscape,korea,digital,koreacafe,cafetour,coffeelover,coffeeshop,coffeetime,cafe,coffee,coffeeoftheday,cafestagram,photooftheday,photoshoot,snap"
1406,sorikangsound, 보라해요,"블루밍퍼플뱅쇼,스타벅스,별다방,카페스타그램"
1407,kgm868686, 2017.2.15. 이렇게 맛없는 샤브집 첨봄 내가 골랐는데 친구들한테 완전 미안함 배도 안부르고 나와서 왠만하믄 성공하는데 그닭 ㅜㅜ 오늘 날이 아닌가하고 마지막희망 망하믄 오늘 이상한 날이다 하고 옆에 드뎌 마지막이라도 성공해서 다행 오늘 너무 힘든 하루,"힘든수요일,서면,1차,통월남쌈그리고샤브,완전망함,2차,깐풍집,닭은,여기도,카페까지,3차,bricks커피,티라미슈,아메리카노,성공"
1408,comoosoo, 쿠캣마켓 땡초비빔된장 이번 여행때 가져가서 고기구워먹을때 찍어먹었다 정말 말그대로 만능 비빔장!! 땡초와 야채를 다져 가마솥에서 따로 따로 볶아 만들었다는 쿠캣마켓 땡초비빔된장 적당히 칼칼한게 삼겹살이랑 같이 먹으면 느끼함도 잡아주고 세상 맛있다 이거 진짜 캠핑 필수템.... 별다른 야채없이도 고기맛을 살려줌!! 찌개끓일때도 유용하게 쓰일듯 . . 구입 @cookatmarket . .,"쿠캣마켓,땡초비빔된장,된장,삼겹살,된장찌개,만능비빔장,양념장,맵덕,쿠캣,캠핑,캠핑요리,요리,요리스타그램,집밥,온더테이블,푸드스타그램,맛스타그램,먹스타그램,먹부림,선팔,맞팔,선팔맞팔,ad,일상,데일리,존맛탱,JMT,food,daily"
1409,kgm868686, 2019.02.03.,"잼라이브,우승,잼언니,소확행,364원,계속모아서,출금하고싶다,설연휴,잼라와,함께"
1410,kgm868686, 2019.05.05. 있는사람 한테 약간 무서운 코스 있음 ㅋ 계단인데 어후 식겁했네ㅋ ㅎㅎ,"가족여행,둘째날,정선여행,여행스타그램,날씨좋음,3_화암동굴,여긴만족,입장료,5000원,모노레일,3000원,재밌게보고옴,1시간정도,코스,고소공포증,금채광,시원하다,여름에딱일듯,다보고,단팥빵으로,당충전,2019봄여행주간,떠나자여행주간,국내여행,취향여행"
1411,kgm868686, 2017.11.05. ㅋ 다른애들은 안찍었지만 ㅋ,"서면,롯데백화점,9층,내가좋아하는,어벤져스전시,우왕,갖고싶다,피규어,아이언맨,캡틴아메리카,스파이더맨,잠깐구경하기좋네"
1412,kgm868686, 2017.3.5. 부모님이랑 마트갔다가 피자랑 맥주사서,"피자,맥주,점심,낮술,먹스타그램,술스타그램,냠냠,맛있당ㅋ"
1413,cafe.touring, 매력적인 공간,
1414,yun.sojin,,"개인취향,사가정카페,카페맛집,딸기사랑,휴무스타그램"
1415,comoosoo," 야식,안주로 좋은 쿠캣마켓 마라족발 마라와 족발의 조합이라니 이건 맛이 없겠구나!!싶었던 250g으로 푸짐한 양 족발,당면,건두부,포두부까지 알차게 들어있어서 더 좋다 마라는 역시 맛있다..... 맛있어서 순삭해버림!! . . 구입 @cookatmarket 쿠캣마켓 신규가입 시 3,000원 할인쿠폰 이벤트중! . .","협찬,쿠캣마켓,쿠캣,쿠캣마켓마라족발,쿠캣마켓족발,마라족발,간편식추천,족발,족발맛집,마라,야식,집밥,안주,맛집,오늘뭐먹지,푸드스타그램,맛스타그램,먹스타그램,일상,데일리,존맛탱,JMT,food,daily,fff,먹팔"
1416,cafe_onni, 와 _ ,"한라봉에이드,한라봉머핀,단양카페,노프라블럼,noproblem,카페스타그램,카페투어,onni_단양"
1417,pin__gu__, Brown Hands,
1418,comoosoo," 홍대 점심,저녁먹기 좋은 곳 마라탕,마라향궈로 유명한 마라공방 마라탕,마라향궈,꿔바로우 등 다양한 중국요리를 먹을 수 있다 매장도 깨끗하고 내가 먹고싶은 재료들을 골라서 만들어 먹을 수 있다는게 제일 큰 장점!! 메뉴도 빨리나오고 무엇보다 맛있다 내가 완전 추천하는 홍대맛집 . . .","홍대맛집,홍대마라탕,홍대점심,홍대마라샹궈,홍대마라공방,종로마라공방,광화문마라공방,서울역마라공방,마라공방,마라탕,마라샹궈,꿔바로우,홍대꿔바로우,홍대데이트,홍대혼밥,마라탕맛집,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,선팔,맞팔,선팔맞팔,일상,존맛탱,JMT,food,daily"
