,Nickname,Review,Hashtag
0,chochuchochu, .,"20200613,지아니스나폴리,역삼맛집,역삼나들이"
1,a_dcafeartgram, 압구정로데오역에 있는 아름다운 스타벅스 리저 매장 :),"스타벅스,스타벅스리저브,압구정로데오카페,카페인테레어,interior,starbucks,아꽁다꽁카페투어,좋반,드립커피,압구정카페,카페스타그램,스타벅스엠디"
2,chochuchochu,  . . 2020년 2월 1일 토요일 오전 11시30분 충무로 CJ 인재원 그랜드홀,"우리결혼해요,오셔서축하해주세요,결혼,청첩장,wedding"
3,mezas_favorite, . 정말 추천하는 맛집!  . . 유튜브 업데이트 됬습니다. 메자스 검색해주세요 .,"다이닝소이,일산맛집,일산카페,정발산카페,정발산맛집,풍산역카페,밤리단길,밤리단길카페,밤가시마을,보넷길,보넷길카페,밤가시마을카페"
4,ming._.log," "" "" 의 "" "" (￦4,500) . 비엔블랑 가기 전부터 제일 기대했던 갈레트 진짜 꿀맛 파티 열렸고요 (๑ᴖᴖ๑) 단면 잘라보고 감탄의 연속ㅠㅠ 어쩜 결이 저렇게 예쁘게 나오나요 사장님 진짜루 최고시다... . 한 입 베어물 때 나는 파사삭 소리 알랍 역시 크로와상이나 패스츄리류는 파사삭 소리가 나야 완성되는거쥬!!!","비엔블랑,갈레트"
5,dalda.__.guri, 오레오와 말차의 조합은 말해모해 겉은 바삭하고 속은 포슬포슬한 식감 겉부분에 오레오쿠키가 붙어 있어 달달하고 식감이 좋다 속에는 치즈(?)같은 게 들어가 있어서 단짠단짠 라떼랑 같이 먹으면 더 맛있을 듯,"달다구리,오레오말차스콘,차차베이커리,베이커리차차,베이커리카페,베이커리맛집,말차스콘,오레오스콘,스콘,스콘맛집,빵집,빵맛집,빵,달달,겉바속촉,빵쟁이,빵덕후,빵순이,빵투어,빵지순례,디저트,빵스타그램"
6,_cafelisa_," 커피도, 빵도 맛있는 유명한 곳",
7,fooodie.3fu_fa, . 맛  (4/5) 분위기  (3.5/5) 에 위치한 팔러엠! 내가 좋아하는 것만 직접 고를 수 있는 부터 적절히 조화되도록 조합되 있는 메뉴들까지 저는 언제나 사랑인 딸기와 바나나 조합인   (베이스 클래식 type) 직원분이 가장 잘나간다고 추천해준 메뉴 중 하나인  (베이스 리치앤크림 type) 평소 아는 맛인 클래식 베이스는 역시나 아는 맛있는 맛에 좋아하는 재료로 담백하고 건강하게 맛나구요 리치앤크림은 꾸덕한 크림치즈같은 식감과 풍부한 요거트향으로 매력에 풍덩 꾸덕한만큼 포만감도 있어요!! 제 취향저격!! 같이 간 친구스탈은 아니라고 하니까 요타입은 호불호가 있을 수 있겠네요! 카페에는 좌석이 6자리정도 협소해서 오랫동안 머물기보간 테이크아웃이나 요거트 맛보는 정도의 아늑함이 있답니댜 참고하세용 주말은 처럼 후레쉬하게 마무리하시구요 월욜병 물리칩시댜!! 코로나가 요새 기승인데 다들 손발 깨끗이 씻고 컨디션 조절 잘하셔서 건강을 챙기세요!! ,"팔러엠,parlorm,서래마을,요거트맛집,스트레인요거트,나나베리블,코코그레이프,yogurt"
8,happiness_hyen, 매번 먹는 쌀국수는 저리가라 분보남보..였나?,"뎁짜이,혜화맛집,쌀국수맛집,대학로맛집,대동곽지도"
9,chochuchochu, @chaeppo @whitejjjjjjj,"한강,셀카,b612,어플,동영상,바다인줄,잠원지구,피크닉,ses,난유진"
10,ffokle_,nan,"서울,서울카페,연신내,연신내카페,밀크티,밀크티맛집,밀푀유,밀푀유맛집,아메리카노"
11,sty8183,nan,"신촌,경의선숲길,카페,cafe,커피,coffee,써밋,summit,써밋컬쳐,summitculture,블랜딩,그랑블루,카푸치노,동네카페,카페투어,커피스타그램,카페스타그램,소확행"
12,dalda.__.guri, 겉은 처럼 바삭하고 짭짤하지만 속은 버터향이 가득하고 부드럽고 촉촉하다 이게 의 매력인가보다,"달다구리,라우겐크로와상,프레첼,라우겐,어글리베이커리,라우겐크루아상,uglybakery,크로와상,크로와상맛집,망원동,망원동빵집,망원빵집,망원동베이커리,빵집,베이커리,빵투어,빵집,빵집투어,빵,빵지순례,빵순이,빵쟁이,빵덕후,빵스타그램"
