,Nickname,Review,Hashtag
0,eatstagram5815, 《서면 - 마틴커피》 이름 : 마차 롤 케익 가격 : 5000원 맛 :  - 마틴커피의 디저트 메뉴를 한가지 소개하고자 합니다. - 적당히 달달한 커피에 어울릴만한 디저트는 이녀석이 괜찮을 것이라 생각이 듭니다. - 베이킹시 100% 교토 우지산 마차를 이용하여 떫지않고 부드러움을 갖췄습니다. 시덥지 않은 부드러운 빵들과는 달리 좀 더 견고한 식감을 갖추고 있어 작게 한입 물어도 만족감을 채워주더군요. - 또한 기존 마차롤케익은 생크림으로 이루어져 닝닝한 맛이 대부분일 경우인데 여기는 팥과 앙금으로 이루어져 생크림의 허전함을 채워졌습니다. - 먹는 내내 간탐사 연발하며 먹었던 기억이 나네요. 지금 주문하시는 분들 요고 한번 잡솨보시길.. - -,"고독한미식가,쿙,부산,서면,카페,서면카페,부산여행,데이트,서면데이트,전포동,부산카페,일상,소통,데일리,오오티디,셀피,사상,daily,food,instagood,eatstagram,coffee,selfie,마틴커피로스터스,상무지구,둔산동"
1,eatstagram5815, 사상 - 사상꼬리집 이름 : 통삼겹살(12000원) 껍데기모듬(10000원) 맛 :  고깃집인데 술집에 가까운집 반갑습니다. 피곤한 몸을 이끌고 20살 남자동생 만나러온 쿙스타입니다. 음 이집 전체적으로 맛집 분위기를 풍깁니다. ㅋ고깃집이지만...술집에 가까워요. 고기질은 이미 만족! 껍데기랑 돼지꼬리도 만족! 특히 만드신 소스 맛이 껍데기랑 정말 잘어울리네요 단점은..ㅋㅋ덥네요 그리고 가게테이블이 빨리 돌기는 힘든 집이라 웨이팅이 필요합니다. 그래도 사장님이 츤데레 스타일이라 좀...ㅋ잘챙겨줍니다. ㅋ개인적인 생각이지만ㅋ음ㅋ솔직히 엄한 술집 갈바엔... 22000원 안주로 여기 오기 좋은듯 싶습니다.,"부산,사상,사상꼬리집,먹스타그램,맛스타그램,잇스타그램,고독한미식가,쿙"
2,eatstagram5815, 호물호물호물~쩝쩝쩝,"소고기촵촵,광안리,수변공원,포장마차,아그집,고독한미식가,쿙"
3,eatstagram5815, 치느님이시다! 찬양하라!,"부산,사상,신드롬,핫스페샬,먹스타그램,chicken,food,foodstagram,instafood,eat,eatstagram,고독한미식가,쿙,서면,남포동,동래,덕천,해운대,광안리"
4,eatstagram5815," <당리 - 당리사시미> . . 3개월만에 적는 피드인데, 고민을 많이 했지만, 여기가 제격인것 같아 적어본다. 횟집도 아니고 이자카야라 하기도 애매한 이 곳은 접근성은 좋지 않은데, 만족도가 높은 집이라 말할 수 있다. 사진에 올리지 못한 사진들이 몇가지가 더 있다. 남는게 있나? 싶을 정도로 나오는 서비스들은... 입이 벌어질 정도이니까... 높은 서비스에 못미치는 아쉬운 몇가지가 발목을 잡을뿐이다. 만약 또 갈거냐고 물으신다면, 또 갈거다. 1인 - 5만원코스","당리,당리사시미,배가부르다,같이갈사람,고독한미식가,쿙,부산맛집,부산술집,당리맛집,당리술집,먹스타그램,맛스타그램,당리맛집_쿙,당리쿙"
5,eatstagram5815, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜ㅋㅋㅋㅋㅋㅋㅋㅋ웃기네 이거ㅋㅋㅋㅋㅋㅋㅋ 다음생에 이런 몸으로 태어나게 해주소서,"드웨인존슨,reface"
6,eatstagram5815, 범일 - 조방 숯불곱창 이름 : 곱창전골 가격 : 10000원 맛 :  술한잔해요! 날씨가 쌀쌀하니깐! 노래가사가 절로 나오는 비쥬얼입니다. 전골을 담고 있는 다라이가 어색하지 않는 비쥬얼입니다. 단맛과 얼큰한 맛이 속을 든든하게 만듭니다. 술안주 따로 필요없습니다요. 딱 제가 좋아하는 맛입니다. 날씨도 쌀쌀해지고 뜨끈뜨끈한 국물이 생각날때 요거 하나 어떠신가요?,"부산,범일동,조방숯불곱창,곱창전골,양념곱창,먹스타그램,맛스타그램,잇스타그램,맛스타그램,고독한미식가,쿙,eat,food,instafood,foodstagram,daily,사상,서면,남포동,동래,덕천,해운대,광안리,일상,데일리,소통,낮술"
7,eatstagram5815, 네! 고기사주시면 잘 먹을 자신있어요. ,
8,eatstagram5815, 《초량 카페 - 산복도로370》 . . . 아직 가오픈 중인 초량동 카페 준비하시는 것들을 잘 진행되어 모두에게 좋은 추억으로 남길 장소가 되길 바랍니다. PS)지인 가게 아닙니다. . . .,"산복도로370,고독한미식가,쿙,부산카페,부산데이트,부산여행,초량카페,부산역카페,산복도로,coffee,cafe,busan,busancafe,view,busanview,cafeview,데일리카페,브라우니,핸드드립,부산카페_쿙"
9,eatstagram5815, 일단 더우니...목욕탕부터 가잡!,
