,Nickname,Review,Hashtag
0,v_namukong," ♥️ ♥️ ⠀ ⠀ 에서 집으로 달려와준 를 먹었어요〰️ ⠀ 푸짐한 야채와 순대, 곱창이 기가 막히게 맛있더라고요🥰 양도 많고 맛도 있고 !! 기분 짱이다 짱 !! ⠀ 맛있음이 듬뿍 묻어난 2번째 영상도 꼭꼭 봐주세요💛 볶을 때부터 이거는 무조건 맛있다고 생각했어요〰️ 역시는 역시다 !! 너무 맛있어🔥 동봉된 양념은 마약소스라서 감칠맛 최고에요 (*´◒`*) ⠀ 소주를 부르는 백순대✨ 이제 집에서 먹어요:) ⠀ ⠀ ⠀ @honam305 -",#백순대#호남댁#백순대택배#신림맛집#호남댁백순대#신림순대#신림순대타운#순대맛집#순대볶음#순대볶음맛집#백순대맛집#먹팔#먹스타맞팔#신림역맛집#신림백순대#먹콩_택배#먹콩_집밥
1,v_namukong," 음식 사진과 관련이 없는 제 첫 일상 사진인데 !! 올리는 게 넘 떨려욥,,,😂😂 제가 오늘은 “뷰티인사이드” 전시회를 갔다 왔어요! ღ’ᴗ’ღ 너무 예쁜 전시회라 소개해드리고 싶었어요🤗 포토존이 엄청 많아서 사진 500장은 찍은 것 같아요! 울님들 다들 불금 보내시길 바라겠습니당♥️♥️ . . .",#뷰티인사이드#뷰티인사이드전시회#일상#셀카#셀피#셀스타그램#selfie#셀기꾼#소통해요#소통#인친#인친환영#선팔하면맞팔#맞팔#선팔#선팔맞팔#팔로우#전시회#홍대데이트#홍대놀거리#홍대데이트코스#홍대핫플#홍대핫플레이스#뷰티인사이드전#협찬문의#인스타지아#먹스타맞팔#먹콩#고3#아이폰11
2,mae_chelin," . 동대문구 급벙개 정모ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 5차 가자고 했는데 아이스크림 사먹은것 까지 5차 꽉채움🐷🐷🐷 남들이 보면 우리 셋이서 처음 만난게 아니라 거의 최소 10년지기 인연 내 텐션도 보통 텐션은 아닌데,,,이 구역에 나같은 사람이 많구나🤣 동대문구에 이런 인재들이 많을줄이야,,우리 모두 이사가지 말아요🤙🏻 8시간 넘게 놀고 배불러서 귀가함 다음엔 더 먹어용💕미쥬바🧒🏻👩🏻‍🦰👩🏻 .",#서울#동대문#답십리#답십리맛집#장원닭한마리#닭한마리#칼국수#전농동#전농동맛집#토리후니#치킨가라아게#꼬치#장안동#장안동맛집#동네오빠#멘보샤#감바스#준코
3,hae_dal_table," 20200624 ⠀ 이게 진짜 얼마만의 모닝인지 ⁼̴̤̆◡̶͂⁼̴̤̆ 오늘도 클린하게 먹어줄까 하다가 솔잉언니 @so__coc 피드에서 앙구마 빨리 안먹으면 식감이 변해버린다는 말을 듣고,,,!! 빵동고에서 화석이 되어가던 을 꺼내줬습니다➰🍠💛 ⠀ 빵동고에 한달동안 묵혀놨더니 확실히 2주 안에 먹을때랑 식감이 변하긴 했더라구요🤧 전체적으로 확실히 퍼석해진 느낌이랄까,,, 그래도 꾸덕한 그릭이 + 팥앙금으로 심폐소생에 성공해서 맛있게 먹어쒀요 (๑❛ڡ❛๑) 오늘도 7시반쯤 일어나서 모닝요가 뽀시구 ! 여유롭게 아침먹고 ! 스벅와서 카공하는 요 루틴이 너무 햄뽀카네요,,♡̷̷̷ ⠀ 그나저나 빵동고에 아직 크럼블 벽돌들이 잔뜩 잠들어있는데,,, 아무래도 크럼블은 칼로리가 높은 편이다 보니 감량 하고싶을때는 손이 잘 안가더라구요 ⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝ 뭔가 비건빵이라고 해도 탄수 뿜뿜한건 어쩔 수 없으니,, 비건빵 = 다이어트 빵은 아니니까요🤧 ⠀ 그래도 빵순이,,, 빵을 포기할수는 없으니,,, 앞으로 빵동고는 단백질 뿜뿜한 ! 더 클린한 빵들로 채워줄 예정입니댜 =͟͟͞͞➳❥ 일단 요번에 칭구랑 같이 벼르던 다앤하 𝕗𝕝𝕖𝕩 하셨구,, 다음 텅장템은 과연 뭐가될지 ꉂꉂ(ᵔᗜᵔ*) ⠀ 여러분의 건강빵 베스트는 몬가요,,?!? 지금 후보에 머드, 소락, 풀빵, 더반한••• 등등 엄청 많긴 한데 빵집 추천 마구마구 부탁드려효( つ’-’)╮—̳͟͞͞♥",#해달_첫끼#크럼블#찌니빵공장#앙구마크럼블
4,mae_chelin, . 이집 떡볶이 인거 모르는 사람 없게해주세요👏🏻 순한맛 보통매운맛 열라매운맛 세가지 선택 가능해서 보매맛 + 열매맛 반반 섞었는데 맵긴 한데 인위적인 매움이 아니라 매운맛이 오래 안가고 깔끔✨ 끓이기만 하면 되는 초간단 💩🤲🏻도 할수 있습니다아🤣😂 한팩에 양도 꽤 되서 두팩 끓였다가 남김🤪 들도 고퀄에 🤭💕 @cy_tteokbokki 👈🏻 여기서 구매 .,#존맛탱#떡볶이밀키트#떡#어묵#소세지#튀김#존맛#천연떡볶이#천생연분떡볶이#떡볶이#밀떡볶이#즉석떡볶이#밀키트#떡볶이맛집#택배맛집#고구마튀김#오징어튀김#야끼만두#김말이#야채튀김
5,rim_muk.log, 손으로 쭉쭉 찢어먹는 뜨끈한 통식빵 🏷 도제식빵 📍 순수식빵 (5000원) 하루 70개만 판매한다는 핫한 도제식빵 먹어봤어요! 원하는 두께로 컷팅할 수 있는데 저는 손으로 찢어먹고 싶어서 통식빵으루🍞 들어오니 묵직함이 느껴집니당😎 집에서 전자레인지로 조금 데워주면 갓나온 빵과 다름 없어욧 얇게 찢어지는 식빵 속살 보이시나용? 결이 살아있어용! 씹을수록 단맛이 올라오는 이 행복한 탄수화물의 맛😭💕 완전 촉촉하고 퍽퍽함 1도 없이 부들부들+쫀득합니다. 요건 따뜻한 커피믹스에 찍어먹으면 헤븐👼 짜릿해 늘 새로워 최고야!!! 흐흐 저처럼 통식빵 뜯어먹는거 좋아하시는 분 계신가요?? 탄수화물 중독된 빵덕후들 모여랏🙋‍♀️ . . . . . @doje255,#도제#도제식빵#식빵#빵#빵순이#빵덕후#빵지순례#통식빵#식빵맛집#빵맛집#빵택배#빵선물#빵집#빵투어#빵집투어#판교빵집#순수식빵#생식빵#빵모닝#맛스타그램#먹스타그램#JMT#foodie#foodphotography#음식사진#오늘뭐먹지#빵추천#림먹로그
6,v_namukong," 울님들 !! 일요일도 잘 보내세요💛 . 🔸수박젤리 : 수박맛도 확실하고 생긴 것도 귀엽다🥰 근데 첫 맛만 그럴 뿐,,, 갈수록 고무 씹는 느낌😰😰 . . . -",#먹콩#먹스타그램맞팔#맛스타그램#먹#먹스타맞팔#음식스타그램#먹부림#먹스타그램#소통해요#소통#인친#인친환영#선팔하면맞팔#맞팔#선팔#선팔맞팔#팔로우#좋아요반사#좋반#좋아요꾹#좋아요정#맞좋아요#좋아요#좋아요테러#jelly#협찬문의#해외과자#외국과자#수박젤리#먹콩_간식
7,rim_muk.log," 빠새 2탄! 치킨 냄시 낭낭한 빠닭🐔💕 출시 📍 CU 🏷 해태 빠삭한닭칩 후라이드치킨맛 (1500원) 봉지 뜯자마자 후라이드치킨 향이 훅 끼칩니다! 먹을수록 염지 잘 된 후라이드치킨 퍽퍽살 맛이 느껴져요~ 그 맛을 어떻게 이리 잘 살렸는지ㅋㅋ 신기할따름😚 식감은 빠새랑 똑같아요! 얇아서 입에 넣으면 바삭바삭 잘 부서집니다 다만ㅋㅋ 제입에는 너무 짰어요! 맨입으로 먹기에는 좀 자극적이고, 아무래도 치킨맛이라 그런지 안주용 과자로 출시된 것 같네요🍺🍻 가볍게 혼맥하실때 드셔보세욧 . . . . . CU로부터 소정의 활동비를 제공받았습니다",#CU덕후#씨유덕후#CU#씨유#빠닭#빠삭한닭칩#빠새#과자#과자추천#신상과자#과자파티#과자스타그램#foodphotography#koreanfood#snack#kfood#편의점신상#CU신상#신상리뷰#맛스타그램#먹스타그램#koreansnack#CU신상품#안주#안주스타그램#CU편의점#편의점안주#림먹로그
8,ming._.log," "" "" 의 "" "" (￦2,800) . 꼬숩고 또 꼬수운 흑임자>_____<♥♥ . 폭신폭신한 빵스콘은 아니구요 부서지는 스콘이어요 반 가르다가 우수수 떨어져서 놀라버려따...ㅋㅋㅋㅋㅋ . 흑임자 맛이 약한 스콘은 아니었지만 할매입맛은 오늘도 흑임자 맛이 더 진했으면 좋겠다고 생각했다구 합니당..😅 . 크기는 큰 편은 아니구 쁘띠한 크기라 간단히 티타임 즐기며 순삭하기 딱 좋은 정도?!",#감성빵집#흑임자스콘
9,v_namukong, ❤️ ❤️ ⠀ ⠀ 징짜 달달한 망고스틴을 먹었어요!! 하얀 과육에서 달달함 파뤼타임〰️ ⠀ 검붉은 껍질과 흰 과육이 프리미엄의 상징이라던데 !! 완전 색 주장 뿜뿜뿜 (*´◒`*) ⠀ 정말 희고 단 속살이 입에서 녹아버려요오💖 ⠀ 완전 강추추추!!!!!!! 배송까지 꼼꼼하고 맛도 👍🏻 ⠀ 처음 보는 예쁜 비주얼에 사진 찍는 행복도 2배였어요💕 ⠀ 📍완전 맛있는 망고스틴 구매처는 @vitamin_table ⠀ ⠀ ⠀ ⠀ ⠀ -,#망고스틴#fruits#과일#망고스틴#동남아과일#망고스틴생과#과일택배#과일냠냠#과일사랑#먹스타맞팔#먹스타그램#과일택배배송#망고스틴공구#짱맛#먹콩_택배
